stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
177,177,GREENSPRING AVE & COLD SPRING LN nb,,39.340705,-76.658031,,,,,,0
178,178,GREENSPRING AVE & WOODLAND AVE nb,,39.346378,-76.659386,,,,,,0
179,179,GREENSPRING AVE & SPRINGARDEN DR nb,,39.348783,-76.659167,,,,,,0
180,180,ROLLING RD & RT 40 nb,,39.282739,-76.753535,,,,,,0
182,182,ROLLING RD & BEVERLY RD sb,,39.276891,-76.755214,,,,,,0
186,186,FREDERICK RD & SMITHWOOD AVE eb,,39.268515,-76.747514,,,,,,0
190,190,FREDERICK RD & BEAUMONT AVE eb,,39.270221,-76.739506,,,,,,0
192,192,FREDERICK RD & NEWBURG AVE eb,,39.271035,-76.735793,,,,,,0
197,197,FREDERICK RD & WADE AVE eb,,39.273260,-76.725684,,,,,,0
199,199,FREDERICK RD & SHADYNOOK AVE eb,,39.274244,-76.721115,,,,,,0
201,201,FREDERICK RD & PARADISE AVE,,39.275632,-76.716648,,,,,,0
202,202,FREDERICK RD & PARADISE AVE eb,,39.275622,-76.716883,,,,,,0
204,204,FREDERICK RD & NUNNERY LN opp eb,,39.276604,-76.714083,,,,,,0
207,207,FREDERICK AVE & OVERBROOK RD fs eb,,39.277981,-76.710608,,,,,,0
209,209,FREDERICK AVE & STONECROFT RD opp eb,,39.279998,-76.706295,,,,,,0
211,211,NORTH BEND RD & WEST BALTIMORE MIDDLE SCHOOL,,39.283323,-76.706284,,,,,,0
216,216,FREDERICK AVE & LONG ISLAND AVE eb,,39.281274,-76.697244,,,,,,0
217,217,FREDERICK AVE & WICKHAM RD eb,,39.281297,-76.695939,,,,,,0
219,219,BEECHFIELD AVE & FREDERICK RD fs sb,,39.280746,-76.694181,,,,,,0
223,223,CEDAR GARDEN RD & LUCIA AVE eb,,39.276062,-76.691576,,,,,,0
225,225,CEDAR GARDEN RD & YALE AVE eb,,39.274923,-76.688863,,,,,,0
226,226,YALE AVE & PARKTON ST nb,,39.277408,-76.686269,,,,,,0
229,229,FREDERICK AVE & AUGUSTA AVE eb,,39.281643,-76.684824,,,,,,0
230,230,FREDERICK AVE & LOUDON AVE fs eb,,39.281727,-76.681649,,,,,,0
231,231,FREDERICK AVE & LOUDON CEMETERY eb,,39.281786,-76.679414,,,,,,0
232,232,FREDERICK AVE & MORLEY ST opp eb,,39.281751,-76.677905,,,,,,0
235,235,FREDERICK AVE & HILTON ST eb,,39.280913,-76.672626,,,,,,0
238,238,FREDERICK AVE & WELLESLEY ST eb,,39.280282,-76.668423,,,,,,0
240,240,HILTON ST & MORLEY ST nb,,39.287480,-76.672267,,,,,,0
242,242,HILTON ST & CULVER ST nb,,39.289698,-76.672376,,,,,,0
244,244,HILTON ST & TROY ST opp nb,,39.315696,-76.672685,,,,,,0
246,246,HILTON ST & CARLISLE AVE nb,,39.319020,-76.672860,,,,,,0
247,247,HILTON ST & POWHATAN AVE fs nb,,39.320395,-76.672887,,,,,,0
248,248,HILTON ST & FAIRVIEW AVE nb,,39.321228,-76.672818,,,,,,0
250,250,HILTON ST & FOREST PARK AVE nb,,39.323101,-76.671884,,,,,,0
251,251,HILTON ST & LIBERTY HEIGHTS AVE nb,,39.323994,-76.671476,,,,,,0
252,252,LIBERTY HTS & ELLAMONT opp sb,,39.323398,-76.669509,,,,,,0
253,253,LIBERTY HEIGHTS AVE & DUKELAND ST sb,,39.322675,-76.667050,,,,,,0
257,257,POLY WESTERN HIGH SCHOOL ,,39.345751,-76.641861,,,,,,0
261,261,FREDERICK AVE & FONTHILL AVE fs eb,,39.279566,-76.663627,,,,,,0
262,262,FREDERICK AVE & BRUNSWICK ST eb,,39.280397,-76.660506,,,,,,0
264,264,FREDERICK AVE & FRANKLINTOWN RD opp eb,,39.282354,-76.657366,,,,,,0
265,265,FREDERICK AVE & CATHERINE ST eb,,39.283557,-76.655535,,,,,,0
267,267,FREDERICK AVE & BENTALOU ST eb,,39.284720,-76.652805,,,,,,0
269,269,PRATT ST & PULASKI ST eb,,39.284952,-76.650009,,,,,,0
272,272,PRATT ST & FULTON AVE eb,,39.285181,-76.645146,,,,,,0
273,273,PRATT ST & MOUNT ST eb,,39.285251,-76.643730,,,,,,0
277,277,BALTIMORE ST & CAREYST eb,,39.288487,-76.638489,,,,,,0
283,283,FAYETTE ST & GAY ST wb,,39.290742,-76.608511,,,,,,0
285,285,FAYETTE ST & SAINT PAUL ST wb,,39.290537,-76.613594,,,,,,0
294,294,LOMBARD ST & MOUNT ST wb,,39.286390,-76.643163,,,,,,0
295,295,LOMBARD ST & FULTON fs wb,,39.286291,-76.645380,,,,,,0
297,297,LOMBARD ST & PAYSON ST wb,,39.286181,-76.647743,,,,,,0
298,298,FREDERICK AVE & PULASKI ST wb,,39.285934,-76.649641,,,,,,0
300,300,FREDERICK AVE & BENTALOU ST wb,,39.284838,-76.652901,,,,,,0
302,302,FREDERICK AVE & CATHERINE ST wb,,39.283652,-76.655668,,,,,,0
303,303,FREDERICK AVE & FRANKLINTOWN RD wb,,39.282750,-76.657057,,,,,,0
306,306,FREDERICK AVE & FONTHILL AVE wb,,39.279805,-76.662907,,,,,,0
309,309,FREDERICK AVE & MOUNT OLIVET LN wb,,39.280322,-76.667826,,,,,,0
313,313,DUE POLY WESTERN HIGH ,,39.345780,-76.641847,,,,,,0
315,315,FALLS RD & COLD SPRING LN sb,,39.343891,-76.640560,,,,,,0
317,317,FALLS RD & ROLAND HEIGHTS AVE sb,,39.341327,-76.639699,,,,,,0
319,319,FALLS RD & 41ST ST sb,,39.337920,-76.637693,,,,,,0
320,320,41ST ST & EDGEHILL AVE wb,,39.337181,-76.638742,,,,,,0
321,321,41ST ST & BUENA VISTA AVE wb,,39.336397,-76.640641,,,,,,0
324,324,DRUID PARK DR & PARKDALE AVE wb,,39.332119,-76.648267,,,,,,0
326,326,DRUID PARK DR & GREENSPRING AVE wb,,39.330439,-76.653649,,,,,,0
327,327,DRUID PARK & PARK HGHTS wb,,39.325624,-76.657459,,,,,,0
328,328,DRUID PARK DR & PARK HEIGHTS AVE wb ,,39.325758,-76.657499,,,,,,0
330,330,DRUID PARK DR & TOWANDA AVE wb,,39.324596,-76.658994,,,,,,0
331,331,2900 DRUID PARK DR,,39.324153,-76.659934,,,,,,0
332,332,LIBERTY HEIGHTS AVE & ROSEDALE RD nb,,39.322950,-76.667285,,,,,,0
334,334,HILTON ST & FOREST PARK AVE sb,,39.323423,-76.671918,,,,,,0
335,335,HILTON ST & POWHATAN AVE sb,,39.320496,-76.673137,,,,,,0
336,336,HILTON ST & CARLISLE AVE sb,,39.319259,-76.673053,,,,,,0
338,338,HILTON ST & PIEDMONT AVE sb,,39.316432,-76.672860,,,,,,0
340,340,EDMONDSON AVE & EDGEWOOD ST wb,,39.294157,-76.675278,,,,,,0
341,341,EDMONDSON AVE & GRANTLEY ST wb,,39.294096,-76.676919,,,,,,0
342,342,CATON AVE & MORLEY ST eb,,39.286803,-76.674463,,,,,,0
343,343,FREDERICK AVE & HILTON ST fs wb,,39.281080,-76.672524,,,,,,0
346,346,FREDERICK AVE & MORLEY ST wb,,39.281812,-76.677355,,,,,,0
349,349,FREDERICK AVE & LOUDON AVE wb,,39.281862,-76.681697,,,,,,0
350,350,FREDERICK AVE & AUGUSTA AVE wb,,39.281811,-76.684467,,,,,,0
351,351,YALE AVE & MOUNT SAINT JOSEPH HIGH SCHOOL mid sb,,39.279774,-76.685566,,,,,,0
352,352,YALE AVE & ELDONE RD sb,,39.276052,-76.687537,,,,,,0
353,353,YALE AVE & ELDONE RD nb,,39.275759,-76.687647,,,,,,0
354,354,CEDAR GARDEN RD & BETHNAL RD wb,,39.275763,-76.690065,,,,,,0
355,355,CEDAR GARDEN RD & THORNFIELD RD wb,,39.276587,-76.692469,,,,,,0
356,356,THORNFIELD AVE & BEECHFIELD AVE wb,,39.275441,-76.693970,,,,,,0
358,358,BEECHFIELD AVE & STAFFORD RD nb,,39.279829,-76.694484,,,,,,0
360,360,FREDERICK AVE & TREMONT RD wb,,39.281480,-76.694694,,,,,,0
361,361,FREDERICK AVE & LONG ISLAND AVE opp wb,,39.281436,-76.696842,,,,,,0
363,363,FREDERICK AVE & ATHOLWOOD LN opp wb,,39.281193,-76.700346,,,,,,0
366,366,FREDERICK RD & NORTH BEND RD fs wb,,39.280332,-76.706309,,,,,,0
367,367,FREDERICK RD & MALLOW HILL RD wb,,39.278866,-76.708771,,,,,,0
369,369,FREDERICK RD & BELLE GROVE RD wb,,39.277584,-76.711953,,,,,,0
371,371,FREDERICK RD & SYMINGTON AVE wb,,39.276517,-76.714690,,,,,,0
372,372,FREDERICK RD & PARADISE AVE wb,,39.275763,-76.716997,,,,,,0
374,374,FREDERICK RD & SHADYNOOK AVE opp wb,,39.274458,-76.720838,,,,,,0
377,377,FREDERICK RD & GLENWOOD AVE mid wb,,39.273078,-76.727077,,,,,,0
378,378,FREDERICK RD & SAINT TIMOTHYS LN wb,,39.272792,-76.728362,,,,,,0
379,379,FREDERICK RD & INGLESIDE AVE wb,,39.272161,-76.731256,,,,,,0
380,380,FREDERICK RD & WINTERS LN fs wb,,39.271276,-76.735283,,,,,,0
382,382,FREDERICK RD & LOCUST DR opp wb,,39.270736,-76.737848,,,,,,0
384,384,FREDERICK RD & OSBOURNE AVE wb,,39.270136,-76.740615,,,,,,0
387,387,FREDERICK RD & ROLLING RD opp wb,,39.269013,-76.745656,,,,,,0
388,388,FREDERICK RD & SMITHWOOD AVEwb,,39.268639,-76.747692,,,,,,0
391,391,ROLLING RD & ROLLINGWOOD RDwb,,39.271366,-76.756749,,,,,,0
392,392,ROLLING RD & EDMONDSON AVE nb,,39.273543,-76.756435,,,,,,0
395,395,SHEPPARD PRATT HOSPITAL eb,,39.392297,-76.619751,,,,,,0
398,398,TOWSONTOWN BLVD & UNIVERSITY AVE eb,,39.396044,-76.611794,,,,,,0
406,406,JOPPA RD & MANOR CARE eb,,39.401172,-76.593576,,,,,,0
411,411,GOUCHER BLVD & PRINCE RD fs sb,,39.395086,-76.584365,,,,,,0
