stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3444,13444,23rd Ave & Lawton St  , ,37.75787,-122.481113, , 
3445,13445,23rd Ave & Lincoln Way  , ,37.765026,-122.481609, , 
3446,13446,23rd Ave & Moraga St  , ,37.756014,-122.480986, , 
3447,13447,23rd Ave & Noriega St  , ,37.75414,-122.48086, , 
3452,13452,23rd St & Rhode Island St  , ,37.75451,-122.401694, , 
3489,13489,25th Ave & Balboa St  , ,37.776419,-122.48456, , 
3490,13490,25th Ave & Balboa St  , ,37.776187,-122.484365, , 
3491,13491,25th Ave & California St  , ,37.784003,-122.485102, , 
3492,13492,25th Ave & California St  , ,37.783807,-122.48485, , 
3495,13495,25th Ave & Clement St  , ,37.782147,-122.484975, , 
3496,13496,25th Ave & Clement St  , ,37.781951,-122.484712, , 
3497,13497,25th Ave & El Camino Del Mar  , ,37.787536,-122.485139, , 
3498,13498,25th Ave & El Camino Del Mar  , ,37.787367,-122.485356, , 
3499,13499,25th Ave & Fulton St  , ,37.772689,-122.484295, , 
3500,13500,25th Ave & Geary Blvd  , ,37.780255,-122.484837, , 
3501,13501,25th Ave & Geary Blvd  , ,37.779925,-122.484619, , 
3502,13502,25th Ave & Lake St  , ,37.785868,-122.485241, , 
3503,13503,25th Ave & Lake St  , ,37.785689,-122.485034, , 
3505,13505,25th St & Connecticut St, ,37.752242,-122.39662, , 
3513,13513,25th St & Wisconsin St  , ,37.752162,-122.398293, , 
3514,13514,26th St & Castro St  , ,37.74815,-122.43363, , 
3516,13516,26th St & De Haro St  , ,37.75086,-122.40015, , 
3517,13517,26th St & De Haro St  , ,37.750753,-122.400024, , 
3520,13520,26th St & Noe St  , ,37.74827,-122.43177, , 
3521,13521,26th St & Noe St  , ,37.748174,-122.431636, , 
3522,13522,26th St & Rhode Island St  , ,37.750718,-122.401124, , 
3524,13524,26th St & Wisconsin St  , ,37.75111,-122.39866, , 
3535,13535,30th St & Church St  , ,37.742159,-122.426369, , 
3536,13536,30th St & Church St  , ,37.74204,-122.42676, , 
3537,13537,30th St & Dolores St  , ,37.742304,-122.424026, , 
3538,13538,30th St & Dolores St  , ,37.74217,-122.424457, , 
3540,13540,30th St & Mission St  , ,37.742408,-122.422037, , 
