route_id,service_id,trip_id,trip_headsign,trip_destination,trip_short_name,trip_route_name,direction_id,pub_dir_id,block_id,rm_block_id,shape_id
446-77,20200523-Mixed-04,803-RL-446.0N-1803-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,803,803-RL,4460150
446-77,20200523-Mixed-04,803-RL-446.1N-1606-20200523-Mixed-04,"446P PARKVIEW/46TH ST LRT","PARKVIEW/46TH ST LRT",446P,446P,1,Northbound,803,803-RL,4460154
446-77,20200523-Mixed-04,823-RL-446.2N-1655-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,823,823-RL,4460156
446-77,20200523-Mixed-04,807-RL-446.2N-1555-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,807,807-RL,4460156
446-77,20200523-Mixed-04,770-RL-446.0N-1203-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,770,770-RL,4460150
446-77,20200523-Mixed-04,804-RL-446.0N-1303-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,804,804-RL,4460150
446-77,20200523-Mixed-04,803-RL-446.0N-1403-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,803,803-RL,4460150
446-77,20200523-Mixed-04,804-RL-446.0N-1506-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,804,804-RL,4460150
446-77,20200523-Mixed-04,770-RL-446.0N-1003-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,770,770-RL,4460150
446-77,20200523-Mixed-04,759-RL-446.0N-1103-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,759,759-RL,4460150
446-77,20200523-Mixed-04,759-RL-446.0N-0903-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,759,759-RL,4460150
446-77,20200523-Mixed-04,770-RL-446.0N-0803-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,770,770-RL,4460150
446-77,20200523-Mixed-04,759-RL-446.0N-0703-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,759,759-RL,4460150
446-77,20200523-Mixed-04,751-RL-446.0N-0633-20200523-Mixed-04,"446 46TH ST LRT","46TH ST LRT",446,446,1,Northbound,751,751-RL,4460150
446-77,20200523-Mixed-04,804-RL-446.6S-2003-20200523-Mixed-04,"446E EAGAN STATION","EAGAN STATION",446E,446E,0,Southbound,804,804-RL,4460127
446-77,20200523-Mixed-04,807-RL-446.0S-1639-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,807,807-RL,4460138
446-77,20200523-Mixed-04,803-RL-446.0S-1709-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,803,803-RL,4460138
446-77,20200523-Mixed-04,804-RL-446.0S-1809-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,804,804-RL,4460138
446-77,20200523-Mixed-04,803-RL-446.0S-1909-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,803,803-RL,4460138
446-77,20200523-Mixed-04,804-RL-446.0S-1409-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,804,804-RL,4460138
446-77,20200523-Mixed-04,803-RL-446.0S-1509-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,803,803-RL,4460138
446-77,20200523-Mixed-04,804-RL-446.0S-1609-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,804,804-RL,4460138
446-77,20200523-Mixed-04,759-RL-446.0S-1209-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,759,759-RL,4460138
446-77,20200523-Mixed-04,803-RL-446.0S-1309-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,803,803-RL,4460138
446-77,20200523-Mixed-04,759-RL-446.0S-0609-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,759,759-RL,4460138
446-77,20200523-Mixed-04,770-RL-446.2S-0634-20200523-Mixed-04,"446E EAGAN STATION","EAGAN STATION",446E,446E,0,Southbound,770,770-RL,4460125
446-77,20200523-Mixed-04,780-RL-446.1S-0711-20200523-Mixed-04,"446P BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446P,446P,0,Southbound,780,780-RL,4460136
446-77,20200523-Mixed-04,751-RL-446.2S-0739-20200523-Mixed-04,"446E EAGAN STATION","EAGAN STATION",446E,446E,0,Southbound,751,751-RL,4460125
446-77,20200523-Mixed-04,759-RL-446.3S-0804-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,759,759-RL,4460140
446-77,20200523-Mixed-04,770-RL-446.0S-0909-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,770,770-RL,4460138
446-77,20200523-Mixed-04,759-RL-446.0S-1009-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,759,759-RL,4460138
446-77,20200523-Mixed-04,770-RL-446.0S-1109-20200523-Mixed-04,"446 BRADDOCK & DIFFLEY","BRADDOCK & DIFFLEY",446,446,0,Southbound,770,770-RL,4460138
470-77,20200523-Mixed-04,765-CT-470.1N-0614-20200523-Mixed-04,"470 MINNEAPOLIS","MINNEAPOLIS",470,470,1,Northbound,765,765-CT,4700210
470-77,20200523-Mixed-04,778-CT-470.1N-0650-20200523-Mixed-04,"470 MINNEAPOLIS","MINNEAPOLIS",470,470,1,Northbound,778,778-CT,4700210
470-77,20200523-Mixed-04,754-CT-470.1N-0716-20200523-Mixed-04,"470 MINNEAPOLIS","MINNEAPOLIS",470,470,1,Northbound,754,754-CT,4700210
470-77,20200523-Mixed-04,778-CT-470.1N-0818-20200523-Mixed-04,"470 MINNEAPOLIS","MINNEAPOLIS",470,470,1,Northbound,778,778-CT,4700210
470-77,20200523-Mixed-04,815-CT-470.1S-1533-20200523-Mixed-04,"470 EAGAN STATION","EAGAN STATION",470,470,0,Southbound,815,815-CT,4700238
470-77,20200523-Mixed-04,825-CT-470.1S-1618-20200523-Mixed-04,"470 EAGAN STATION","EAGAN STATION",470,470,0,Southbound,825,825-CT,4700238
470-77,20200523-Mixed-04,828-CT-470.1S-1632-20200523-Mixed-04,"470 EAGAN STATION","EAGAN STATION",470,470,0,Southbound,828,828-CT,4700238
470-77,20200523-Mixed-04,825-CT-470.1S-1743-20200523-Mixed-04,"470 EAGAN STATION","EAGAN STATION",470,470,0,Southbound,825,825-CT,4700238
476-77,20200523-Mixed-04,763-CT-476.4N-0614-20200523-Mixed-04,"476 MINNEAPOLIS","MINNEAPOLIS",476,476,1,Northbound,763,763-CT,4760256
476-77,20200523-Mixed-04,781-CT-476.4N-0714-20200523-Mixed-04,"476 MINNEAPOLIS","MINNEAPOLIS",476,476,1,Northbound,781,781-CT,4760256
476-77,20200523-Mixed-04,823-RL-476.4S-1601-20200523-Mixed-04,"476 PALOMINO P&R ONLY","PALOMINO P&R ONLY",476,476,0,Southbound,823,823-RL,4760249
476-77,20200523-Mixed-04,815-CT-476.4S-1646-20200523-Mixed-04,"476 PALOMINO P&R ONLY","PALOMINO P&R ONLY",476,476,0,Southbound,815,815-CT,4760249
493-77,20200523-Mixed-04,754-CT-493.0N-0541-20200523-Mixed-04,"493 MINNEAPOLIS","MINNEAPOLIS",493,493,1,Northbound,754,754-CT,4930063
493-77,20200523-Mixed-04,760-CT-493.0N-0618-20200523-Mixed-04,"493 MINNEAPOLIS","MINNEAPOLIS",493,493,1,Northbound,760,760-CT,4930063
493-77,20200523-Mixed-04,772-CT-493.0N-0655-20200523-Mixed-04,"493 MINNEAPOLIS","MINNEAPOLIS",493,493,1,Northbound,772,772-CT,4930063
493-77,20200523-Mixed-04,809-CT-493.0S-1431-20200523-Mixed-04,"493 MARSCHALL RD STATION","MARSCHALL RD STATION",493,493,0,Southbound,809,809-CT,4930043
493-77,20200523-Mixed-04,822-CT-493.0S-1552-20200523-Mixed-04,"493 MARSCHALL RD STATION","MARSCHALL RD STATION",493,493,0,Southbound,822,822-CT,4930043
493-77,20200523-Mixed-04,809-CT-493.0S-1635-20200523-Mixed-04,"493 MARSCHALL RD STATION","MARSCHALL RD STATION",493,493,0,Southbound,809,809-CT,4930043
484-77,20200523-Mixed-04,769-CT-484.1N-0632-20200523-Mixed-04,"484 ST PAUL","ST PAUL",484R,484R,1,Northbound,769,769-CT,4840115
484-77,20200523-Mixed-04,776-CT-484.1N-0702-20200523-Mixed-04,"484 ST PAUL","ST PAUL",484R,484R,1,Northbound,776,776-CT,4840115
484-77,20200523-Mixed-04,821-CT-484.1S-1550-20200523-Mixed-04,"484R ROSEMOUNT","ROSEMOUNT",484R,484R,0,Southbound,821,821-CT,4840094
484-77,20200523-Mixed-04,826-CT-484.1S-1620-20200523-Mixed-04,"484R ROSEMOUNT","ROSEMOUNT",484R,484R,0,Southbound,826,826-CT,4840094
498-77,20200523-Mixed-04,820-RL-498.0S-1720-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,820,820-RL,4980002
498-77,20200523-Mixed-04,820-RL-498.0S-1550-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,820,820-RL,4980002
498-77,20200523-Mixed-04,819-RL-498.0S-1620-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,819,819-RL,4980002
498-77,20200523-Mixed-04,813-RL-498.0S-1650-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,813,813-RL,4980002
498-77,20200523-Mixed-04,777-RL-498.0S-0750-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,777,777-RL,4980002
498-77,20200523-Mixed-04,768-RL-498.0S-0820-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,768,768-RL,4980002
498-77,20200523-Mixed-04,813-RL-498.0S-1520-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,813,813-RL,4980002
498-77,20200523-Mixed-04,767-RL-498.0S-0720-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,767,767-RL,4980002
498-77,20200523-Mixed-04,768-RL-498.0S-0650-20200523-Mixed-04,"498 MARSCHALL RD/OPTUM/GOLDEN TRIANGLE","MARSCHALL RD/OPTUM/GOLDEN TRIANGLE",498,498,0,Southbound,768,768-RL,4980002
498-77,20200523-Mixed-04,819-RL-498.0N-1710-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,819,819-RL,4980001
498-77,20200523-Mixed-04,820-RL-498.0N-1640-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,820,820-RL,4980001
498-77,20200523-Mixed-04,813-RL-498.0N-1610-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,813,813-RL,4980001
498-77,20200523-Mixed-04,819-RL-498.0N-1540-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,819,819-RL,4980001
498-77,20200523-Mixed-04,777-RL-498.0N-0840-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,777,777-RL,4980001
498-77,20200523-Mixed-04,768-RL-498.0N-0740-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,768,768-RL,4980001
498-77,20200523-Mixed-04,767-RL-498.0N-0810-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,767,767-RL,4980001
498-77,20200523-Mixed-04,777-RL-498.0N-0710-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,777,777-RL,4980001
498-77,20200523-Mixed-04,767-RL-498.0N-0640-20200523-Mixed-04,"498 UNITED HEALTH/GOLDEN TRI/OPTUM","UNITED HEALTH/GOLDEN TRI/OPTUM",498,498,1,Northbound,767,767-RL,4980001
477-77,20200523-Mixed-04,801-CT-477.0S-1215-20200523-Mixed-04,"477 APPLE VALLEY STATION","APPLE VALLEY STATION",477,477,0,Southbound,801,801-CT,4770404
460-77,20200523-Mixed-04,763-CT-460.0N-0726-20200523-Mixed-04,"460 MINNEAPOLIS","MINNEAPOLIS",460,460,1,Northbound,763,763-CT,4600164
460-77,20200523-Mixed-04,827-CT-460.0S-1623-20200523-Mixed-04,"460 BURNSVILLE STATION","BURNSVILLE STATION",460,460,0,Southbound,827,827-CT,4600190
477-77,20200523-Mixed-04,771-CT-477.0N-0643-20200523-Mixed-04,"477 MINNEAPOLIS","MINNEAPOLIS",477,477,1,Northbound,771,771-CT,4770419
477-77,20200523-Mixed-04,765-CT-477.0N-0729-20200523-Mixed-04,"477 MINNEAPOLIS","MINNEAPOLIS",477,477,1,Northbound,765,765-CT,4770420
477-77,20200523-Mixed-04,814-CT-477.0S-1530-20200523-Mixed-04,"477 APPLE VALLEY STATION","APPLE VALLEY STATION",477,477,0,Southbound,814,814-CT,4770404
477-77,20200523-Mixed-04,814-CT-477.0S-1705-20200523-Mixed-04,"477 APPLE VALLEY STATION","APPLE VALLEY STATION",477,477,0,Southbound,814,814-CT,4770404
411-77,20200523-Weekend-01,951--411.0N-0520-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-0920-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-1020-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-1120-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-1220-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-1520-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,951--411.0N-1620-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,951,951-,4110001
411-77,20200523-Weekend-01,952--411.0N-1650-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,952--411.0N-1920-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,952--411.0N-2010-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,952--411.0N-2110-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,952--411.0N-2210-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,952--411.0N-2310-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,952,952-,4110001
411-77,20200523-Weekend-01,951--411.0S-0936-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,951--411.0S-1036-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,951--411.0S-1136-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,951--411.0S-1236-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,951--411.0S-1536-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,951--411.0S-1637-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
