stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00850,850,"Pilot Knob Rd at Crestridge Rd NW corner",,  44.825367, -93.167483,,,0,
00851,851,"Pilot Knob Rd at Englert Rd NW corner",,  44.822674, -93.168238,,,0,
00853,853,"Wescott Rd at Civic Center Dr SE corner",,  44.818863, -93.164355,,,0,
00859,859,"Lexington Av at Northview Park Rd W corner",,  44.813130, -93.146861,,,0,
00860,860,"Diffley Rd at Lexington Ave SE corner",,  44.804497, -93.143435,,,0,
00861,861,"Diffley Rd at Daniel Dr SW corner",,  44.804486, -93.136660,,,0,
00862,862,"Braddock Trl at Diffley Rd NE corner",,  44.804791, -93.131419,,,0,
00863,863,"Braddock Trl at Pennsylvania Av (S) SE corner",,  44.806683, -93.131663,,,0,
00864,864,"Braddock Trl at Ventnor Av SE corner",,  44.808289, -93.131419,,,0,
00865,865,"Braddock Trl at Northview Park Rd SE corner",,  44.812233, -93.130656,,,0,
00866,866,"Northview Park Rd at Short Line SW corner",,  44.811302, -93.126978,,,0,
00867,867,"Northview Park Rd at Tilbury Way SW corner",,  44.810872, -93.123293,,,0,
00868,868,"Northview Park Rd at Havenhill Rd SW corner",,  44.812077, -93.120715,,,0,
00870,870,"Elrene Rd at Bridle Ridge Rd SE corner",,  44.815426, -93.123225,,,0,
00871,871,"Elrene Rd at Mill Run Cir SE corner",,  44.817276, -93.123431,,,0,
00872,872,"Wescott Rd at Elrene Rd NW corner",,  44.819043, -93.123431,,,0,
00873,873,"Wescott Rd at Woodland Trl NE corner",,  44.819050, -93.128451,,,0,
00874,874,"Wescott Rd at North Ridge Dr N corner",,  44.819062, -93.132273,,,0,
00875,875,"Wescott Rd at Greensboro Dr (E) NE corner",,  44.819073, -93.137164,,,0,
00876,876,"Wescott Rd at Greensboro Dr (W) NE corner",,  44.819081, -93.140864,,,0,
00877,877,"Wescott Rd at Lexington Av NE corner",,  44.819172, -93.146586,,,0,
