fare_id,price,currency_type,payment_method,transfers,transfer_duration
128,9.10,USD,1,,
129,12.75,USD,1,,
130,12.30,USD,1,,
131,12.15,USD,1,,
132,11.75,USD,1,,
133,11.35,USD,1,,
134,10.75,USD,1,,
135,10.40,USD,1,,
136,10.15,USD,1,,
137,10.15,USD,1,,
138,10.15,USD,1,,
139,10.15,USD,1,,
140,10.10,USD,1,,
141,10.00,USD,1,,
142,9.70,USD,1,,
143,9.60,USD,1,,
144,9.35,USD,1,,
145,17.50,USD,1,,
146,13.55,USD,1,,
147,14.35,USD,1,,
148,14.60,USD,1,,
149,13.70,USD,1,,
150,14.35,USD,1,,
151,3.95,USD,1,,
152,3.95,USD,1,,
153,5.30,USD,1,,
154,6.70,USD,1,,
155,8.25,USD,1,,
156,6.85,USD,1,,
157,6.60,USD,1,,
158,6.45,USD,1,,
159,6.25,USD,1,,
160,6.20,USD,1,,
161,6.10,USD,1,,
162,5.95,USD,1,,
163,5.85,USD,1,,
164,5.85,USD,1,,
165,5.85,USD,1,,
166,6.15,USD,1,,
167,6.35,USD,1,,
168,6.70,USD,1,,
169,6.95,USD,1,,
170,7.25,USD,1,,
171,7.55,USD,1,,
172,8.10,USD,1,,
173,8.45,USD,1,,
174,7.25,USD,1,,
175,8.45,USD,1,,
176,8.85,USD,1,,
177,8.30,USD,1,,
178,4.55,USD,1,,
179,8.10,USD,1,,
180,7.65,USD,1,,
181,7.50,USD,1,,
182,7.10,USD,1,,
183,6.70,USD,1,,
184,6.10,USD,1,,
185,5.75,USD,1,,
186,5.55,USD,1,,
187,5.55,USD,1,,
188,5.55,USD,1,,
189,5.55,USD,1,,
190,5.45,USD,1,,
191,5.40,USD,1,,
192,5.15,USD,1,,
193,5.00,USD,1,,
194,4.75,USD,1,,
195,12.85,USD,1,,
196,8.90,USD,1,,
197,9.70,USD,1,,
198,9.95,USD,1,,
199,9.05,USD,1,,
200,9.75,USD,1,,
201,7.60,USD,1,,
202,7.90,USD,1,,
203,12.90,USD,1,,
204,8.25,USD,1,,
205,6.70,USD,1,,
206,6.05,USD,1,,
207,5.85,USD,1,,
208,5.65,USD,1,,
209,5.45,USD,1,,
210,5.40,USD,1,,
211,5.30,USD,1,,
212,5.15,USD,1,,
213,5.05,USD,1,,
214,5.05,USD,1,,
215,5.05,USD,1,,
216,4.80,USD,1,,
217,4.60,USD,1,,
218,4.30,USD,1,,
219,2.60,USD,1,,
220,4.35,USD,1,,
221,4.65,USD,1,,
222,5.15,USD,1,,
223,5.55,USD,1,,
224,2.60,USD,1,,
225,2.60,USD,1,,
226,7.90,USD,1,,
227,7.35,USD,1,,
228,7.40,USD,1,,
229,7.15,USD,1,,
230,6.70,USD,1,,
231,6.50,USD,1,,
232,6.15,USD,1,,
233,5.75,USD,1,,
234,5.15,USD,1,,
235,5.20,USD,1,,
236,6.95,USD,1,,
237,6.95,USD,1,,
238,6.95,USD,1,,
239,6.95,USD,1,,
240,7.00,USD,1,,
241,7.05,USD,1,,
242,7.25,USD,1,,
243,7.30,USD,1,,
244,7.45,USD,1,,
245,11.05,USD,1,,
246,6.00,USD,1,,
247,6.80,USD,1,,
248,7.05,USD,1,,
249,8.05,USD,1,,
250,8.75,USD,1,,
251,6.20,USD,1,,
252,6.50,USD,1,,
253,11.50,USD,1,,
254,6.85,USD,1,,
255,6.05,USD,1,,
256,6.70,USD,1,,
257,2.60,USD,1,,
258,2.60,USD,1,,
259,2.60,USD,1,,
260,2.60,USD,1,,
261,2.60,USD,1,,
262,3.40,USD,1,,
263,3.60,USD,1,,
264,3.60,USD,1,,
265,3.60,USD,1,,
266,3.95,USD,1,,
267,4.20,USD,1,,
268,4.50,USD,1,,
