trip_id,realtime_trip_id
10761709-132-Blocks-Weekday-50,2601014
10761710-132-Blocks-Weekday-50,2601016
10761711-132-Blocks-Weekday-50,2601018
10761712-132-Blocks-Weekday-50,2601020
10761713-132-Blocks-Weekday-50,2601022
10761714-132-Blocks-Weekday-50,2601024
10761715-132-Blocks-Weekday-50,2601026
10761716-132-Blocks-Weekday-50,2601028
10761728-132-Blocks-Weekday-50,2601002
10761729-132-Blocks-Weekday-50,2601004
10761730-132-Blocks-Weekday-50,2601001
10761731-132-Blocks-Weekday-50,2601003
10761732-132-Blocks-Weekday-50,2561004
10761733-132-Blocks-Weekday-50,2561006
10761734-132-Blocks-Weekday-50,2561008
10761735-132-Blocks-Weekday-50,2561010
10761736-132-Blocks-Weekday-50,2561016
10761737-132-Blocks-Weekday-50,2561012
10761738-132-Blocks-Weekday-50,2561014
10761739-132-Blocks-Weekday-50,2561003
10761740-132-Blocks-Weekday-50,2561005
10761741-132-Blocks-Weekday-50,2561007
10761742-132-Blocks-Weekday-50,2561009
10761743-132-Blocks-Weekday-50,2561011
10761744-132-Blocks-Weekday-50,2561013
10761745-132-Blocks-Weekday-50,2561015
10761748-132-Blocks-Weekday-50,2561002
10761749-132-Blocks-Weekday-50,2561001
10761750-132-Blocks-Weekday-50,2511002
10761751-132-Blocks-Weekday-50,2511004
10761752-132-Blocks-Weekday-50,2511012
10761753-132-Blocks-Weekday-50,2511006
10761754-132-Blocks-Weekday-50,2511008
10761755-132-Blocks-Weekday-50,2511010
10761756-132-Blocks-Weekday-50,2511001
10761757-132-Blocks-Weekday-50,2511003
10761758-132-Blocks-Weekday-50,2511005
10761759-132-Blocks-Weekday-50,2511007
10761760-132-Blocks-Weekday-50,2511009
10761761-132-Blocks-Weekday-50,2511011
10761763-132-Blocks-Weekday-50,2501004
10761764-132-Blocks-Weekday-50,2501006
10761765-132-Blocks-Weekday-50,2501008
10761766-132-Blocks-Weekday-50,2501010
10761767-132-Blocks-Weekday-50,2501012
10761768-132-Blocks-Weekday-50,2501014
10761769-132-Blocks-Weekday-50,2501028
10761770-132-Blocks-Weekday-50,2501016
10761771-132-Blocks-Weekday-50,2501018
10761772-132-Blocks-Weekday-50,2501020
10761773-132-Blocks-Weekday-50,2501022
10761774-132-Blocks-Weekday-50,2501024
10761775-132-Blocks-Weekday-50,2501026
10761776-132-Blocks-Weekday-50,2501003
10761777-132-Blocks-Weekday-50,2501005
10761778-132-Blocks-Weekday-50,2501007
10761779-132-Blocks-Weekday-50,2501009
10761780-132-Blocks-Weekday-50,2501011
10761781-132-Blocks-Weekday-50,2501013
10761782-132-Blocks-Weekday-50,2501015
10761783-132-Blocks-Weekday-50,2501017
10761784-132-Blocks-Weekday-50,2501019
10761785-132-Blocks-Weekday-50,2501021
10761786-132-Blocks-Weekday-50,2501023
10761787-132-Blocks-Weekday-50,2501025
10761788-132-Blocks-Weekday-50,2501027
10761789-132-Blocks-Weekday-50,2501029
10761804-132-Blocks-Weekday-50,2501002
10761805-132-Blocks-Weekday-50,2501030
10761806-132-Blocks-Weekday-50,2501032
10761807-132-Blocks-Weekday-50,2501001
10761808-132-Blocks-Weekday-50,2501031
10761809-132-Blocks-Weekday-50,2501033
10761810-132-Blocks-Weekday-50,1411003
10761811-132-Blocks-Weekday-50,1411005
10761812-132-Blocks-Weekday-50,1411007
10761813-132-Blocks-Weekday-50,1411009
10761814-132-Blocks-Weekday-50,1411011
10761815-132-Blocks-Weekday-50,1411013
10761816-132-Blocks-Weekday-50,1411015
10761817-132-Blocks-Weekday-50,1411017
10761818-132-Blocks-Weekday-50,1411019
10761819-132-Blocks-Weekday-50,1411021
10761820-132-Blocks-Weekday-50,1411023
10761821-132-Blocks-Weekday-50,1411025
10761822-132-Blocks-Weekday-50,1411004
10761823-132-Blocks-Weekday-50,1411006
10761824-132-Blocks-Weekday-50,1411008
10761825-132-Blocks-Weekday-50,1411010
10761826-132-Blocks-Weekday-50,1411012
10761827-132-Blocks-Weekday-50,1411014
10761828-132-Blocks-Weekday-50,1411016
10761829-132-Blocks-Weekday-50,1411018
10761830-132-Blocks-Weekday-50,1411020
10761831-132-Blocks-Weekday-50,1411022
10761832-132-Blocks-Weekday-50,1411024
10761833-132-Blocks-Weekday-50,1411026
10761834-132-Blocks-Weekday-50,1411027
10761835-132-Blocks-Weekday-50,1411028
10761836-132-Blocks-Weekday-50,1411002
10761837-132-Blocks-Weekday-50,1411001
10761838-132-Blocks-Weekday-50,1401006
10761839-132-Blocks-Weekday-50,1401008
10761840-132-Blocks-Weekday-50,1401010
10761841-132-Blocks-Weekday-50,1401012
10761842-132-Blocks-Weekday-50,1401014
10761843-132-Blocks-Weekday-50,1401016
10761844-132-Blocks-Weekday-50,1401018
10761845-132-Blocks-Weekday-50,1401020
10761846-132-Blocks-Weekday-50,1401022
10761847-132-Blocks-Weekday-50,1401024
10761848-132-Blocks-Weekday-50,1401026
10761849-132-Blocks-Weekday-50,1401005
10761850-132-Blocks-Weekday-50,1401007
10761851-132-Blocks-Weekday-50,1401009
10761852-132-Blocks-Weekday-50,1401011
10761853-132-Blocks-Weekday-50,1401013
10761854-132-Blocks-Weekday-50,1401015
10761855-132-Blocks-Weekday-50,1401017
10761856-132-Blocks-Weekday-50,1401019
10761857-132-Blocks-Weekday-50,1401021
10761858-132-Blocks-Weekday-50,1401023
10761859-132-Blocks-Weekday-50,1401025
10761860-132-Blocks-Weekday-50,1401030
10761861-132-Blocks-Weekday-50,1401036
10761862-132-Blocks-Weekday-50,1401034
10761863-132-Blocks-Weekday-50,1401027
10761864-132-Blocks-Weekday-50,1401004
10761865-132-Blocks-Weekday-50,1401028
10761866-132-Blocks-Weekday-50,1401033
10761867-132-Blocks-Weekday-50,1401032
10761868-132-Blocks-Weekday-50,1401001
10761869-132-Blocks-Weekday-50,1401002
10761870-132-Blocks-Weekday-50,1401031
10761871-132-Blocks-Weekday-50,1401029
10761872-132-Blocks-Weekday-50,1401003
10761890-132-Blocks-Weekday-50,1301008
10761891-132-Blocks-Weekday-50,1301010
10761892-132-Blocks-Weekday-50,1301012
10761893-132-Blocks-Weekday-50,1301014
10761894-132-Blocks-Weekday-50,1301016
10761895-132-Blocks-Weekday-50,1301018
10761896-132-Blocks-Weekday-50,1301020
10761897-132-Blocks-Weekday-50,1301022
10761898-132-Blocks-Weekday-50,1301024
10761899-132-Blocks-Weekday-50,1301026
10761900-132-Blocks-Weekday-50,1301028
10761901-132-Blocks-Weekday-50,1301030
10761902-132-Blocks-Weekday-50,1301032
10761903-132-Blocks-Weekday-50,1301034
10761904-132-Blocks-Weekday-50,1301036
10761905-132-Blocks-Weekday-50,1301038
10761906-132-Blocks-Weekday-50,1301056
10761907-132-Blocks-Weekday-50,1301040
10761908-132-Blocks-Weekday-50,1301042
10761909-132-Blocks-Weekday-50,1301044
10761910-132-Blocks-Weekday-50,1301046
10761911-132-Blocks-Weekday-50,1301048
10761912-132-Blocks-Weekday-50,1301054
10761913-132-Blocks-Weekday-50,1301050
10761914-132-Blocks-Weekday-50,1301052
10761915-132-Blocks-Weekday-50,1301011
10761916-132-Blocks-Weekday-50,1301013
10761917-132-Blocks-Weekday-50,1301015
10761918-132-Blocks-Weekday-50,1301017
10761919-132-Blocks-Weekday-50,1301019
10761920-132-Blocks-Weekday-50,1301021
10761921-132-Blocks-Weekday-50,1301023
10761922-132-Blocks-Weekday-50,1301025
10761923-132-Blocks-Weekday-50,1301027
10761924-132-Blocks-Weekday-50,1301029
10761925-132-Blocks-Weekday-50,1301031
10761926-132-Blocks-Weekday-50,1301033
10761927-132-Blocks-Weekday-50,1301035
10761928-132-Blocks-Weekday-50,1301037
10761929-132-Blocks-Weekday-50,1301039
10761930-132-Blocks-Weekday-50,1301041
10761931-132-Blocks-Weekday-50,1301043
10761932-132-Blocks-Weekday-50,1301045
10761933-132-Blocks-Weekday-50,1301047
10761934-132-Blocks-Weekday-50,1301049
10761935-132-Blocks-Weekday-50,1301051
10761936-132-Blocks-Weekday-50,1301053
10761937-132-Blocks-Weekday-50,1301055
10761938-132-Blocks-Weekday-50,1301057
10761939-132-Blocks-Weekday-50,1301059
10761985-132-Blocks-Weekday-50,1301002
10761986-132-Blocks-Weekday-50,1301004
10761987-132-Blocks-Weekday-50,1301006
10761988-132-Blocks-Weekday-50,1301058
10761989-132-Blocks-Weekday-50,1301060
10761990-132-Blocks-Weekday-50,1301062
10761991-132-Blocks-Weekday-50,1301064
10761992-132-Blocks-Weekday-50,1301001
10761993-132-Blocks-Weekday-50,1301003
10761994-132-Blocks-Weekday-50,1301005
10761995-132-Blocks-Weekday-50,1301007
10761996-132-Blocks-Weekday-50,1301009
10761997-132-Blocks-Weekday-50,1301061
10761998-132-Blocks-Weekday-50,1301063
10761999-132-Blocks-Weekday-50,1301065
10762000-132-Blocks-Weekday-50,1301067
10762001-132-Blocks-Weekday-50,1301069
