shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_179875,-122.4341895261,37.9672236742,25,19801.43115379
p_179875,-122.4322287601,37.9695962514,26,20116.13110739
p_179875,-122.4143994697,37.9879631557,27,22687.09405701
p_179875,-122.4079548995,37.9945515036,28,23611.89347405
p_179875,-122.4033037803,37.9999775386,29,24339.65038076
p_179875,-122.3938647441,38.0129840142,30,26004.40423748
p_179875,-122.3881192439,38.0219650398,31,27121.66977130
p_179875,-122.3821457476,38.0300829398,32,28164.25982250
p_179875,-122.3740643134,38.0394536872,33,29423.31499845
p_179875,-122.3655372614,38.0487187392,34,30695.26442621
p_179875,-122.3639690926,38.0503624214,35,30923.80697551
p_179875,-122.3534590352,38.056680981,36,32082.60078748
p_179875,-122.3394559724,38.0599019976,37,33362.49941932
p_179875,-122.3268977458,38.0618586142,38,34485.80164869
p_179875,-122.3151918146,38.0624284564,39,35515.03953379
p_179875,-122.2920623923,38.0608536091,40,37552.36501580
p_179875,-122.2778843218,38.0607982931,41,38796.64571687
p_179875,-122.2686369518,38.0611873521,42,39609.33998952
p_179875,-122.2575112035,38.0626887625,43,40599.83982505
p_179875,-122.252600376,38.0630887416,44,41033.08208285
p_179875,-122.2482901933,38.0639101586,45,41422.16299626
p_179875,-122.2467943666,38.0646878806,46,41579.27182482
p_179875,-122.2452420935,38.0661099795,47,41787.77145945
p_179875,-122.2439720519,38.0679320034,48,42018.68741268
p_179875,-122.2451856472,38.0694873537,49,42221.53116815
p_179875,-122.2438591593,38.0731311877,50,42642.40404377
p_179875,-122.2446776305,38.0753978979,51,42904.05282330
p_179875,-122.2463992425,38.0784638153,52,43276.38189652
p_179875,-122.25184791,38.0849754283,53,44142.94178926
p_179875,-122.2577780125,38.0920324467,54,45083.27261154
p_179875,-122.2616352724,38.0953508138,55,45583.43001070
p_179875,-122.2633808913,38.0970649744,56,45827.66032934
p_179875,-122.2640575674,38.097868758,57,45934.81920561
p_179875,-122.2643059366,38.0983845644,58,45996.07767577
p_179875,-122.2642574744,38.0988422131,59,46047.05347559
p_179875,-122.2640999719,38.0992521877,60,46094.61082336
p_179875,-122.2637274423,38.0996077918,61,46145.85256548
p_179875,-122.2630766052,38.0998843232,62,46210.66840334
p_898865,-122.391565513,37.7950647899,1,0.00000000
p_898865,-122.3874037069,37.8015609288,2,808.84313582
p_898865,-122.3871312293,37.8123248934,3,2003.80692593
p_898865,-122.3887660948,37.8252395797,4,3444.45684240
p_898865,-122.3999376759,37.867626909,5,8250.82976139
p_898865,-122.4122134251,37.8851831672,6,10478.75255732
p_898865,-122.4021317544,37.9075450751,7,13114.44611091
p_898865,-122.3577179077,37.9026002383,8,17058.81896134
p_898865,-122.359051,37.909093,9,17788.95504733
p_898866,-122.359051,37.909093,1,0.00000000
p_898866,-122.3598834706,37.9035402302,2,620.66101027
p_898866,-122.377458275,37.9028952352,3,2167.98286359
p_898866,-122.4138395225,37.896776165,4,5439.06587402
p_898866,-122.4132945673,37.8919381202,5,5978.19719405
p_898866,-122.4073000604,37.8815083647,6,7250.28472891
p_898866,-122.400139847,37.8656249779,7,9122.42426136
p_898866,-122.3876122143,37.8240298454,8,13869.06423377
p_898866,-122.3872034979,37.8119210378,9,15213.53925450
p_898866,-122.3877484531,37.8028793635,10,16218.24708012
p_898866,-122.3876491084,37.7988926761,11,16660.82681799
p_898866,-122.3885675633,37.7972593515,12,16859.34210924
p_898866,-122.391565513,37.7950647899,13,17218.57848375
p_899221,-122.279777,37.795032,1,0.00000000
p_899221,-122.2803227032,37.7942724279,2,97.04523922
p_899221,-122.281072136,37.7940321088,3,168.23900604
p_899221,-122.2826885125,37.793711682,4,314.98085293
p_899221,-122.2842425512,37.7935056927,5,453.75391010
p_899221,-122.2857884828,37.7933655052,6,590.80301064
p_899221,-122.2876312911,37.7931509319,7,754.85270083
p_899221,-122.2887934551,37.7929706899,8,859.15120569
p_899221,-122.2899882031,37.7927160616,9,968.11239162
p_899221,-122.2912553601,37.7923756021,10,1085.94630423
p_899221,-122.2934927973,37.7919407272,11,1288.84415675
p_899221,-122.2938218046,37.791917839,12,1317.93427973
p_899221,-122.2941005792,37.7918148419,13,1345.01954789
p_899221,-122.2941569021,37.7911533139,14,1418.61162086
p_899221,-122.2941459315,37.7912119309,15,1425.18903732
p_899221,-122.2943298497,37.7917594343,16,1488.08000495
p_899221,-122.2944904574,37.7918420324,17,1504.93728029
p_899221,-122.2952476083,37.7917352592,18,1572.67208505
p_899221,-122.2965656116,37.7916506463,19,1689.14149452
p_899221,-122.29668543,37.7916546755,20,1699.70462186
